,creation,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,2022-09-17 19:45:26+00:00,MinGrandpaTwt,"since 2016 I 💜 @BTS_twt, meaningful lyricists,best selling group,kind,funny.
I hate antis+solos+mantis+the shady music industry & medias.
bvo born voters",,217,66,21585,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
1,2022-09-17 19:30:34+00:00,ARMY_MoonNEarth,"방탄은 7, 최애지민. 7명 다 우주만큼 사랑해💜.
네덜란드 거주 한국아미🇰🇷🇳🇱.
Done is better than perfect-Kim Namjoon. 
BTS fan account. 헤더:@winterbear",The Netherlands,971,890,35118,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
2,2022-09-17 18:46:15+00:00,breaktheesystem,"OT⁷. No solos, no mantis, no minors. Billboard and the Grammys can choke. I block bots and azzhats, preemptively when possible.","9000+ feet, Colorado",822,556,104146,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
3,2022-09-17 18:29:37+00:00,Harisha07899309,I am students,,96,28,5328,4,"Did you know you get up to 4 months free of YouTube Premium on your eligible Samsung Galaxy devices? Get yours today and enjoy an ad-free, offline and background play experience. Know more: https://t.co/8IUqkOoNZX. #GalaxyS22 Series #Samsung https://t.co/w7O3a11r0D",[]
4,2022-09-17 18:28:10+00:00,Harisha07899309,I am students,,96,28,5328,35,"The world's #1 couple. Introducing the world's #2 couple: #GalaxyS22 Ultra &amp; #GalaxyWatch5.

Find out more: https://t.co/6WOzntGJR4 | https://t.co/i6htPfjHEj https://t.co/4skc0BHAAN","['GalaxyS22', 'GalaxyWatch5']"
5,2022-09-17 18:28:01+00:00,Harisha07899309,I am students,,96,28,5328,15,"Don't tell me you dip them in milkshakes 🥤😬 and don't tell me you use #GalaxyS22 Ultra without #GalaxyBuds2Pro 😬.

Find out more: https://t.co/6WOzntp8su | https://t.co/ngF3XaLiJ5 https://t.co/b8g7c42NAw","['GalaxyS22', 'GalaxyBuds2Pro']"
6,2022-09-17 18:19:38+00:00,SharmaYsys85,sarfarosi ki tamanna ab hamare dil me hai dekhna hai jor kitna baju e katil me hai.,India,180,112,261,2,"Never buying Samsung phone again, bought 2 Samsung M31, within 2 year due to their faulty motherboard i can't use my phone, searched internet 1000s of ppl have complained but the company doesn't accept their faulty motherboard problem. @SamsungMobile #GalaxyBuds2Pro #GalaxyS22",[]
7,2022-09-17 18:01:34+00:00,oye_bread,Hey there,"Delhi, India",393,61,2670,0,"#BiggestdealoftheyearMy guess would be ₹48,999/-

#Biggestdealoftheyear

@amazonIN @SamsungIndia
#GalaxyS22
#Biggestdealoftheyear https://t.co/WfX52ETatC","['BiggestdealoftheyearMy', 'Biggestdealoftheyear', 'GalaxyS22', 'Biggestdealoftheyear']"
8,2022-09-17 17:59:18+00:00,coolhan7kings,,,90,45,22173,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
9,2022-09-17 17:57:36+00:00,pankajpomal,Sr. System Administrator,"Raipur, India",46,13,842,0,"My guess would be ₹49,999/-

#Biggestdealoftheyear

@amazonIN @SamsungIndia
#GalaxyS22
#Biggestdealoftheyear https://t.co/xtBkssQBv0","['Biggestdealoftheyear', 'GalaxyS22', 'Biggestdealoftheyear']"
10,2022-09-17 17:49:17+00:00,Brk7Mary,,,39,0,26,2643,"#V just for you. 😍🎷
#GalaxyS22 Ultra 5G #GalaxyxBTS BTS.BighitOfficial

Learn more - https://t.co/BZe9O8rP4S https://t.co/vJOyIRYLs6","['V', 'GalaxyS22', 'GalaxyxBTS']"
11,2022-09-17 17:43:20+00:00,MioPurplesYou,"PROUD #BTSARMY | #BTS_Proof is here |
BANGTAN and BANGTAN only! I love, cherish and respect them! Their happiness is my happiness!
💜 #BTSFOREVER 💜 #AFBF 💜",,300,281,61270,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
12,2022-09-17 17:23:58+00:00,alleyhues0t7,"#Army since Dyna~ era #BTSARMY #BTSForever  😘💜✨🎉🎊
         🔖 I only FB who follows this @BTS_twt @bts_bighit
 👉🏻 #BTS       ONLY 😘👌🏻💜✨",,318,404,74516,298,"It’s a Bora Purple world. @BTS_twt 
#GalaxyxBTS #GalaxyZFlip4 | GalaxyS22 5G Bora Purple 

Learn more: https://t.co/vMZ2zKDkL6

#JoinTheFlipSide 
#DoGreaterThanNow https://t.co/XlxcmiLZ4a","['GalaxyxBTS', 'GalaxyZFlip4']"
